year,recipient,Health ODA,Health ODA (including COVID-19)
2008,Africa,8490.714019892042,8490.714019892042
2008,America,943.9027904802011,943.9027904802011
2008,Asia,3520.1737077029074,3520.1737077029074
2008,Europe,207.4220333629121,207.4220333629121
2008,Oceania,197.88155072153458,197.88155072153458
2008,Other,3359.4668828578206,3359.4668828578206
2009,Africa,9489.304191320804,9489.304191320804
2009,America,1005.9844904294899,1005.9844904294899
2009,Asia,4100.442640752255,4100.442640752255
2009,Europe,230.471700816716,230.471700816716
2009,Oceania,244.3069836649347,244.3069836649347
2009,Other,4046.6315409578187,4046.6315409578187
2010,Africa,10206.027622922124,10206.027622922124
2010,America,1033.2035971412313,1033.2035971412313
2010,Asia,4517.127975335259,4517.127975335259
2010,Europe,263.33963702775753,263.33963702775753
2010,Oceania,207.45185583234823,207.45185583234823
2010,Other,4297.048566220617,4297.048566220617
2011,Africa,10524.836177946609,10524.836177946609
2011,America,1083.8400515678932,1083.8400515678932
2011,Asia,4264.688680213815,4264.688680213815
2011,Europe,252.20679258243942,252.20679258243942
2011,Oceania,260.5919884843569,260.5919884843569
2011,Other,4646.180074375616,4646.180074375616
2012,Africa,11678.593523649577,11678.593523649577
2012,America,951.3353321638233,951.3353321638233
2012,Asia,4382.64821241057,4382.64821241057
2012,Europe,263.470177328782,263.470177328782
2012,Oceania,291.4435686016921,291.4435686016921
2012,Other,4138.073376419965,4138.073376419965
2013,Africa,13054.478463614849,13054.478463614849
2013,America,1075.2994024473462,1075.2994024473462
2013,Asia,4957.895718316838,4957.895718316838
2013,Europe,234.03537508904847,234.03537508904847
2013,Oceania,273.59095587116116,273.59095587116116
2013,Other,4415.629644761096,4415.629644761096
2014,Africa,12462.54317640968,12462.54317640968
2014,America,1089.375336954378,1089.375336954378
2014,Asia,4213.947805593991,4213.947805593991
2014,Europe,253.43035021224946,253.43035021224946
2014,Oceania,259.983466138642,259.983466138642
2014,Other,4331.140898530893,4331.140898530893
2015,Africa,12841.688520654912,12841.688520654912
2015,America,885.240132041482,885.240132041482
2015,Asia,4807.99433631545,4807.99433631545
2015,Europe,250.7053615174097,250.7053615174097
2015,Oceania,258.6185822001408,258.6185822001408
2015,Other,4422.059818563379,4422.059818563379
2016,Africa,13535.693738095762,13535.693738095762
2016,America,893.2531073348935,893.2531073348935
2016,Asia,4712.462118584293,4712.462118584293
2016,Europe,279.6303118505693,279.6303118505693
2016,Oceania,196.32622484358717,196.32622484358717
2016,Other,4687.959345387993,4687.959345387993
2017,Africa,14474.914912516757,14474.914912516757
2017,America,977.3646549406473,977.3646549406473
2017,Asia,5665.707615743578,5665.707615743578
2017,Europe,255.89510280070436,255.89510280070436
2017,Oceania,200.9647395010628,200.9647395010628
2017,Other,5675.7296823322295,5675.7296823322295
2018,Africa,13505.233375847349,13505.233375847349
2018,America,819.0160893283535,819.0160893283535
2018,Asia,4507.9809780179785,4507.9809780179785
2018,Europe,197.41165022347653,197.41165022347653
2018,Oceania,221.884087212676,221.884087212676
2018,Other,5536.339661142072,5536.339661142072
2019,Africa,12771.755376308496,12771.755376308496
2019,America,729.8134794019941,729.8134794019941
2019,Asia,4557.959924745942,4557.959924745942
2019,Europe,206.75943333190716,206.75943333190716
2019,Oceania,261.04204492160335,261.04204492160335
2019,Other,4810.8293484929845,4810.8293484929845
2020,Africa,11176.645094587568,15330.849998557354
2020,America,714.4311833414308,1160.5450957501796
2020,Asia,4041.6553226470223,6432.105942300513
2020,Europe,157.42978400159896,377.8725099644985
2020,Oceania,139.51021461151802,515.0084996943109
2020,Other,3857.0252223414764,6629.582200157397
2021,Africa,10183.340161415277,16216.528838746513
2021,America,649.254092184502,2026.4285964760638
2021,Asia,3523.4106600928626,7929.617513492428
2021,Europe,238.46614873098594,690.91803122745
2021,Oceania,192.686125130053,540.0529475405342
2021,Other,3964.8222481823695,7929.671777524882
2022,Africa,11153.513353,16951.308055
2022,America,603.456766,1973.318791
2022,Asia,4290.726316,7342.801855
2022,Europe,214.399577,429.05216199999995
2022,Oceania,194.249107,383.211779
2022,Other,6578.437731999999,12387.84979
